,year,company,positive_score,negative_score,litigous_score,superfluous_score,interesting_score,modal_score,harvard_1,polarity_score,avg_sen_length,fog_index,Future Return
0,2014,AMERICAN EXPRESS CO,0.008967436994414034,0.02105479477646795,0.017579912941132512,0.00022418592486035086,0.0016066657948325144,0.014123713266202103,0.04750873390998935,-0.40260015558274553,33202,13280.973893138967,0.03662664811352001
1,2015,AMERICAN EXPRESS CO,0.008587950151720453,0.022653104066871505,0.01854997232771618,0.00017175900303440905,0.0016030840283211513,0.01444684058856085,0.04832153285368041,-0.4501993952363402,32329,12931.773862476415,-0.2420945966607111
2,2016,AMERICAN EXPRESS CO,0.008120681212253116,0.0206893737417705,0.01305838184884923,0.00017683225420316666,0.0013738505903476794,0.011426084117743077,0.05394744001305838,-0.43624548110349914,46143,18457.367886786727,0.08582172375440988
3,2017,AMERICAN EXPRESS CO,0.007329704329985605,0.022369661973229205,0.013550852926090769,0.0001489104717152832,0.0015883783649630206,0.012558116447988881,0.057231257962573834,-0.5063896347169178,37799,15119.770491282838,0.36216386002859036
4,2018,AMERICAN EXPRESS CO,0.0076143769761889395,0.021746144415048074,0.01293798799767697,8.066077305284894e-05,0.0016293476156675486,0.012615344905465575,0.05810802090727238,-0.48130228848007783,38732,15492.970463699266,-0.026201857382453952
5,2019,AMERICAN EXPRESS CO,0.007582410159416374,0.022409483923263984,0.013070791677924885,0.0001182112942447987,0.0013678735476898136,0.013307214266414482,0.05692718184274521,-0.49435288648619025,36912,14764.973992197658,0.3251739138680292
6,2014,Facebook Inc,0.006799934458463051,0.02132830848216724,0.010787044622863073,0.00010923589491506909,0.0017750832923698727,0.01720465344912338,0.04208312851603037,-0.516486492521958,21236,8494.58406479563,0.42763036063785576
7,2015,Facebook Inc,0.006199278629395852,0.02048579801623084,0.010144274120829576,0.000140892696122633,0.0018034265103697023,0.0175834084761046,0.04404305680793508,-0.5353548060492533,20623,8249.385967124084,0.3414508696940035
8,2016,Facebook Inc,0.006545475332990339,0.02097982049962842,0.01071857314354313,0.00011433144686446007,0.001686388841250786,0.018550277253758646,0.045589664437203456,-0.5243838566006157,20292,8116.984072540903,0.09927390995097096
9,2017,Facebook Inc,0.006458669722381374,0.022240741705297152,0.012630866190947445,0.00010417209229647377,0.0016407104536694619,0.019141621959477054,0.04690348455648732,-0.5498900955717879,22332,8932.981425756761,0.5337678830391324
10,2018,Facebook Inc,0.00677159105938368,0.022377992329057003,0.011532866023012829,0.00013225763787858748,0.0015606401269673323,0.020367676233302472,0.04962306573204603,-0.5353718332739048,22006,8802.581550486231,-0.2571121118829104
11,2019,Facebook Inc,0.005806484764400596,0.023662710035455527,0.012075432917116284,0.00035969374646729354,0.0015929294486408715,0.01962900159292945,0.050100200400801605,-0.6059079484314134,22623,9049.381814967068,0.5657181718148465
12,2014,NETFLIX INC,0.007513555383423702,0.020139426800929512,0.008946553059643687,0.00019364833462432224,0.002517428350116189,0.01584043377226956,0.048567002323780015,-0.45656612249680273,15527,6210.976028852966,-0.07214056984761219
13,2015,NETFLIX INC,0.00725747923554552,0.020683815821304734,0.009716958309813725,0.00024191597451818402,0.0029029916942182083,0.014998790420127408,0.04959277477622772,-0.48050228366862974,14881,5952.577084873329,1.3437837342634666
14,2016,NETFLIX INC,0.0070268582136164895,0.019948469706433478,0.009876639600249844,0.0003123048094940662,0.003005933791380387,0.014326983135540287,0.051842598376014994,-0.478998162059451,15498,6199.376255000646,0.08235710810054542
15,2017,NETFLIX INC,0.007793912544097136,0.018377225367134303,0.007875953728771843,0.0003281647386988268,0.0029945032406267945,0.0153006809418328,0.0520551316761014,-0.40437326361846326,14747,5898.977419136096,0.550565444118877
16,2018,NETFLIX INC,0.007205215203385308,0.018413327741984675,0.008501391483359384,0.00034310548587549084,0.0018298959246692845,0.014791658724410049,0.05375319278716023,-0.43748292319262155,15823,6329.3795613979655,0.3943529605157783
17,2019,NETFLIX INC,0.007724855401576026,0.019292729319513993,0.009432863631070222,0.00027172858196498586,0.0017468265983463375,0.014983890376926361,0.05384107759791933,-0.4281450726361836,15553,6221.380492509485,0.20888441641318023
18,2014,AMAZON COM INC,0.007943420548374734,0.02714002020694701,0.01404034421489043,3.483956380866112e-05,0.001498101243772428,0.012124168205414069,0.05685816813573494,-0.5471542155238847,17804,7121.778589081106,-0.22177089223200863
19,2015,AMAZON COM INC,0.007366303219106958,0.026220145379023882,0.014278296988577362,3.245067497403946e-05,0.001622533748701973,0.01272066458982347,0.058703271028037386,-0.5613359438372508,19099,7639.780616786219,1.1778313909946103
20,2016,AMAZON COM INC,0.007261853908586074,0.02267275654716919,0.012387868432293891,3.28590674596655e-05,0.0016100943055236093,0.013242204186245195,0.05681332763776164,-0.5148016828105236,18850,7540.181177718833,0.10945572452950514
21,2017,AMAZON COM INC,0.007287289915966387,0.022124474789915968,0.013163077731092437,3.282563025210084e-05,0.0013130252100840337,0.013195903361344538,0.055967699579831935,-0.5044471345117123,18871,7548.580234221822,0.5595636491351448
22,2018,AMAZON COM INC,0.006937904187857098,0.01880454573993847,0.012871224963897783,3.139323161926289e-05,0.0016324480442016702,0.013090977585232625,0.053431280215985436,-0.46095770323575747,19665,7866.181072972286,0.2843168959316702
23,2019,AMAZON COM INC,0.007359395044223888,0.02012018094659375,0.012524475052325974,3.3758692863412326e-05,0.0016541759503072042,0.013132131523867396,0.05408142596718655,-0.4643565661299731,18299,7319.7811683698565,0.23027749504206452
